station_name,location,datetime_local,scraped_at,aqi,aqi_category,main_pollutant,pollutant_density,temperature,humidity,wind_speed,pressure
"Duitku PG, Kebon Jeruk","Duitku PG, Kebon Jeruk","10.00, Mar 30 Waktu setempat",2026-03-30 04:16:35,96,Sedang,PM2.5,33 µg/m³,30°C,70%,6 km/h,1012 mbar
Wisma Barito Pacific,"Indonesia, Jakarta, Jakarta","11.00, Mar 30 Waktu setempat",2026-03-30 04:17:04,91,Sedang,PM2.5,30.7 µg/m³,31°C,70%,6 km/h,1012 mbar
Gran Melia Jakarta,"Indonesia, Jakarta, Jakarta","11.00, Mar 30 Waktu setempat",2026-03-30 04:20:25,110,Tidak sehat bagi kelompok sensitif,PM2.5,39 µg/m³,31°C,75%,9 km/h,1011 mbar
"Widya Chandra, JK","Widya Chandra, JK","10.00, Mar 30 Waktu setempat",2026-03-30 04:22:07,89,Sedang,PM2.5,29.7 µg/m³,31°C,75%,9 km/h,1011 mbar
Simprug THL Area,"Indonesia, Jakarta, Jakarta","11.00, Mar 30 Waktu setempat",2026-03-30 04:22:34,82,Sedang,PM2.5,26 µg/m³,31°C,75%,9 km/h,1011 mbar
JI. Benda Dalam,"Indonesia, Jakarta, Jakarta","16.00, Mar 30 Waktu setempat",2026-03-30 16:17:06,56,Sedang,PM2.5,12 µg/m³,31°C,75%,11 km/h,1008 mbar
Duta Niaga Pondok Indah,"Indonesia, Jakarta, Jakarta","16.00, Mar 30 Waktu setempat",2026-03-30 16:18:04,50,Baik,PM2.5,9 µg/m³,31°C,75%,11 km/h,1008 mbar
"Pulo Mas, Kayu Putih","Pulo Mas, Kayu Putih","16.00, Mar 30 Waktu setempat",2026-03-30 16:18:29,69,Sedang,PM2.5,19 µg/m³,31°C,70%,11 km/h,1008 mbar
P2T,"Indonesia, Banten, South Tangerang","16.00, Mar 30 Waktu setempat",2026-03-30 16:19:00,64,Sedang,PM2.5,16 µg/m³,30°C,59%,7 km/h,1008 mbar
Yayasan AHP - Lebak Bulus,"Indonesia, Banten, South Tangerang","16.00, Mar 30 Waktu setempat",2026-03-30 16:19:32,64,Sedang,PM2.5,16 µg/m³,28°C,81%,8 km/h,1010 mbar
Casa Grande Tower Chianti,"Indonesia, Jakarta, Jakarta","16.00, Mar 30 Waktu setempat",2026-03-30 16:20:03,64,Sedang,PM2.5,16 µg/m³,31°C,75%,11 km/h,1008 mbar
Taman Patra,"Indonesia, Jakarta, Jakarta","16.00, Mar 30 Waktu setempat",2026-03-30 16:20:34,66,Sedang,PM2.5,17 µg/m³,31°C,75%,11 km/h,1008 mbar
Ascott Kuningan - myhome,"Indonesia, Jakarta, Jakarta","16.00, Mar 30 Waktu setempat",2026-03-30 16:21:04,66,Sedang,PM2.5,17 µg/m³,31°C,75%,11 km/h,1008 mbar
INDODAX,"Indonesia, Jakarta, Jakarta","16.00, Mar 30 Waktu setempat",2026-03-30 16:21:36,62,Sedang,PM2.5,14.9 µg/m³,31°C,75%,11 km/h,1008 mbar
Wisma Matahari Power,"Indonesia, Jakarta, Jakarta","16.00, Mar 30 Waktu setempat",2026-03-30 16:22:07,66,Sedang,PM2.5,17 µg/m³,31°C,75%,11 km/h,1008 mbar
Kemang Timur V,"Indonesia, Jakarta, Jakarta","16.00, Mar 30 Waktu setempat",2026-03-30 16:22:33,62,Sedang,PM2.5,15 µg/m³,31°C,75%,11 km/h,1008 mbar
AHP Capital Place,"Indonesia, Jakarta, Jakarta","16.00, Mar 30 Waktu setempat",2026-03-30 16:23:03,62,Sedang,PM2.5,15 µg/m³,31°C,75%,11 km/h,1008 mbar
Cipete Selatan Asem II,"Indonesia, Jakarta, Jakarta","16.00, Mar 30 Waktu setempat",2026-03-30 16:23:28,55,Sedang,PM2.5,11 µg/m³,31°C,75%,11 km/h,1008 mbar
ERASMUS HUIS DUTCH CULTURAL CENTER,"Indonesia, Jakarta, Jakarta","16.00, Mar 30 Waktu setempat",2026-03-30 16:24:06,64,Sedang,PM2.5,15.9 µg/m³,31°C,75%,11 km/h,1008 mbar
"Rambutan, Ciracas","Rambutan, Ciracas","16.00, Mar 30 Waktu setempat",2026-03-30 16:24:35,75,Sedang,PM2.5,21.8 µg/m³,31°C,75%,11 km/h,1008 mbar
