station_name,location,datetime_local,scraped_at,aqi,aqi_category,main_pollutant,pollutant_density,temperature,humidity,wind_speed,pressure
Jeruk Purut,"Indonesia, Jakarta, Jakarta","17.00, Mar 30 Waktu setempat",2026-03-30 17:24:12,81,Sedang,PM2.5,25 µg/m³,30°C,79%,9 km/h,1008 mbar
idsMED - JKT - Wisma 76,"Indonesia, Jakarta, Jakarta","17.00, Mar 30 Waktu setempat",2026-03-30 17:24:42,62,Sedang,PM2.5,14.9 µg/m³,30°C,75%,9 km/h,1008 mbar
Pakis,"Indonesia, Banten, South Tangerang","17.00, Mar 30 Waktu setempat",2026-03-30 17:25:15,64,Sedang,PM2.5,16 µg/m³,27°C,87%,5 km/h,1006 mbar
KJ.O,"Indonesia, Jakarta, Jakarta","17.00, Mar 30 Waktu setempat",2026-03-30 17:25:43,60,Sedang,PM2.5,14 µg/m³,29°C,75%,7 km/h,1009 mbar
The RBS - AirVisual Outdoor,"Indonesia, Jakarta, Jakarta","17.00, Mar 30 Waktu setempat",2026-03-30 17:26:37,68,Sedang,PM2.5,18 µg/m³,30°C,79%,9 km/h,1008 mbar
Graha LMU,"Indonesia, Jakarta, Jakarta","17.00, Mar 30 Waktu setempat",2026-03-30 17:27:07,117,Tidak sehat bagi kelompok sensitif,PM2.5,42 µg/m³,30°C,79%,9 km/h,1008 mbar
Jakarta Atmaya residences,"Indonesia, Jakarta, Jakarta","17.00, Mar 30 Waktu setempat",2026-03-30 17:27:37,64,Sedang,PM2.5,16 µg/m³,30°C,79%,9 km/h,1008 mbar
Kemang V,"Indonesia, Jakarta, Jakarta","17.00, Mar 30 Waktu setempat",2026-03-30 17:28:08,75,Sedang,PM2.5,22 µg/m³,30°C,79%,9 km/h,1008 mbar
"Widya Chandra, JK","Widya Chandra, JK","17.00, Mar 30 Waktu setempat",2026-03-30 17:28:36,64,Sedang,PM2.5,15.9 µg/m³,30°C,79%,9 km/h,1008 mbar
Cipaku IV,"Indonesia, Jakarta, Jakarta","17.00, Mar 30 Waktu setempat",2026-03-30 17:29:00,69,Sedang,PM2.5,19 µg/m³,30°C,79%,9 km/h,1008 mbar
Puri Indah,"Indonesia, Jakarta, Jakarta","17.00, Mar 30 Waktu setempat",2026-03-30 17:29:27,68,Sedang,PM2.5,18 µg/m³,29°C,75%,7 km/h,1009 mbar
Radiant Group Building,"Indonesia, Jakarta, Jakarta","17.00, Mar 30 Waktu setempat",2026-03-30 17:29:51,68,Sedang,PM2.5,18 µg/m³,30°C,79%,9 km/h,1008 mbar
Simprug THL Area,"Indonesia, Jakarta, Jakarta","17.00, Mar 30 Waktu setempat",2026-03-30 17:30:23,68,Sedang,PM2.5,18 µg/m³,30°C,79%,9 km/h,1008 mbar
Semanggi,"Indonesia, Jakarta, Jakarta","17.00, Mar 30 Waktu setempat",2026-03-30 17:30:53,66,Sedang,PM2.5,17 µg/m³,30°C,79%,9 km/h,1008 mbar
Gran Melia Jakarta,"Indonesia, Jakarta, Jakarta","17.00, Mar 30 Waktu setempat",2026-03-30 17:34:23,77,Sedang,PM2.5,23 µg/m³,30°C,79%,9 km/h,1008 mbar
JI. Benda Dalam,"Indonesia, Jakarta, Jakarta","09.00, Mar 31 Waktu setempat",2026-03-31 09:35:01,105,Tidak sehat bagi kelompok sensitif,PM2.5,37 µg/m³,29°C,79%,7 km/h,1012 mbar
Duta Niaga Pondok Indah,"Indonesia, Jakarta, Jakarta","09.00, Mar 31 Waktu setempat",2026-03-31 09:35:26,122,Tidak sehat bagi kelompok sensitif,PM2.5,44 µg/m³,29°C,79%,7 km/h,1012 mbar
